method;diff;n_samples;lambd;dim;num_item;lr;step_mu;n_iter_mu;best_relat_regret
LD;IMLE;10;1;5;200;0,001;0;0;0,4273085
LD;IMLE;5;1;5;200;0,001;0;0;0,444941461
LD;IMLE;1;1;5;200;0,001;0;0;0,461325228
LD;IMLE;5;10;5;200;0,001;0;0;0,47004509
LD;IMLE;1;10;5;200;0,001;0;0;0,485841811
LD;IMLE;10;100;5;200;0,01;0;0;0,494215161
LD;IMLE;10;10;5;200;0,001;0;0;0,498475939
LD;IMLE;1;100;5;200;0,01;0;0;0,500527024
LD;IMLE;5;100;5;200;0,01;0;0;0,505137265
LD;IMLE;1;100;5;200;0,001;0;0;0,505588531
LD;IMLE;5;100;5;200;0,001;0;0;0,505606592
LD;IMLE;10;100;5;200;0,001;0;0;0,511684418
LD;SPOPlus;#VALEUR!;#VALEUR!;5;200;0,001;0;0;0,465552747
LD;SPOPlus;#VALEUR!;#VALEUR!;5;200;0,01;0;0;0,497120202
LD;SPOPlus;#VALEUR!;#VALEUR!;5;200;0,1;0;0;0,589942515
MSE;IMLE;5;100;5;200;0,001;0;0;0,135066062
MSE;IMLE;10;10;5;200;0,001;0;0;0,135559812
MSE;IMLE;10;100;5;200;0,001;0;0;0,135745868
MSE;IMLE;5;10;5;200;0,01;0;0;0,135897264
MSE;IMLE;5;1;5;200;0,001;0;0;0,136015743
MSE;IMLE;1;10;5;200;0,001;0;0;0,136243299
MSE;IMLE;5;10;5;200;0,001;0;0;0,136327282
MSE;IMLE;1;100;5;200;0,001;0;0;0,136503756
MSE;IMLE;1;1;5;200;0,001;0;0;0,136798173
MSE;IMLE;1;100;5;200;0,01;0;0;0,136965737
MSE;IMLE;10;1;5;200;0,001;0;0;0,137189373
MSE;IMLE;10;1;5;200;0,01;0;0;0,137304083
MSE;IMLE;10;100;5;200;0,01;0;0;0,137494937
MSE;IMLE;1;10;5;200;0,01;0;0;0,137965053
MSE;IMLE;1;1;5;200;0,01;0;0;0,138516694
MSE;IMLE;5;100;5;200;0,01;0;0;0,139416099
MSE;IMLE;5;1;5;200;0,01;0;0;0,13945964
MSE;IMLE;10;10;5;200;0,01;0;0;0,140007839
MSE;IMLE;1;10;5;200;0,1;0;0;0,149208605
MSE;IMLE;10;100;5;200;0,1;0;0;0,15038988
MSE;IMLE;10;1;5;200;0,1;0;0;0,150419444
MSE;IMLE;1;100;5;200;0,1;0;0;0,151421502
MSE;IMLE;5;100;5;200;0,1;0;0;0,151857808
MSE;IMLE;10;10;5;200;0,1;0;0;0,151917651
MSE;IMLE;1;1;5;200;0,1;0;0;0,152657762
MSE;IMLE;5;10;5;200;0,1;0;0;0,153264016
MSE;IMLE;5;1;5;200;0,1;0;0;0,153450117
SG;IMLE;10;10;5;200;0,001;30;10;0,191086799
SG;IMLE;5;10;5;200;0,001;30;10;0,192624658
SG;IMLE;10;5;5;200;0,001;30;10;0,19274433
SG;IMLE;10;10;5;200;0,001;30;30;0,193967625
SG;IMLE;5;5;5;200;0,001;30;10;0,194368929
SG;IMLE;10;5;5;200;0,001;10;10;0,194838896
SG;IMLE;10;5;5;200;0,001;10;50;0,194909662
SG;IMLE;10;5;5;200;0,001;10;30;0,195009097
SG;IMLE;5;10;5;200;0,001;30;30;0,195800722
SG;IMLE;10;5;5;200;0,001;30;30;0,1958206
SG;IMLE;5;5;5;200;0,001;30;30;0,196453929
SG;IMLE;10;10;5;200;0,001;10;10;0,196835175
SG;IMLE;5;10;5;200;0,001;10;10;0,196995541
SG;IMLE;10;5;5;200;0,001;30;50;0,197263867
SG;IMLE;5;10;5;200;0,001;30;50;0,197534502
SG;IMLE;5;5;5;200;0,001;30;50;0,198167488
SG;IMLE;5;5;5;200;0,001;10;30;0,198462784
SG;IMLE;5;5;5;200;0,001;10;50;0,198487103
SG;IMLE;10;10;5;200;0,001;30;50;0,198595971
SG;IMLE;10;10;5;200;0,001;10;30;0,198904529
SG;IMLE;1;10;5;200;0,001;30;10;0,199145004
SG;IMLE;5;10;5;200;0,001;10;30;0,199864835
SG;IMLE;5;5;5;200;0,001;10;10;0,199885592
SG;IMLE;10;10;5;200;0,001;10;50;0,201539487
SG;IMLE;1;5;5;200;0,001;30;10;0,203459084
SG;IMLE;5;10;5;200;0,001;10;50;0,204442814
SG;IMLE;1;10;5;200;0,001;30;30;0,205284044
SG;IMLE;1;10;5;200;0,001;30;50;0,205556214
SG;IMLE;1;5;5;200;0,001;30;30;0,206261054
SG;IMLE;1;5;5;200;0,001;10;30;0,207538098
SG;IMLE;1;5;5;200;0,001;10;50;0,208440781
SG;IMLE;1;5;5;200;0,001;30;50;0,209168613
SG;IMLE;1;10;5;200;0,001;10;10;0,209302828
SG;IMLE;1;5;5;200;0,001;10;10;0,210179642
SG;IMLE;1;10;5;200;0,001;10;30;0,211026877
SG;IMLE;1;10;5;200;0,001;10;50;0,211363077
SG;IMLE;10;10;5;200;0,001;1;10;0,216038585
SG;IMLE;10;5;5;200;0,001;1;10;0,216673538
SG;IMLE;5;10;5;200;0,001;1;10;0,218682259
SG;IMLE;5;10;5;200;0,001;1;30;0,218925789
SG;IMLE;10;5;5;200;0,001;1;30;0,219220176
SG;IMLE;5;5;5;200;0,001;1;10;0,220747784
SG;IMLE;10;5;5;200;0,001;1;50;0,221449316
SG;IMLE;10;10;5;200;0,001;1;50;0,22158432
SG;IMLE;5;5;5;200;0,001;1;30;0,221663818
SG;IMLE;10;10;5;200;0,001;1;30;0,223988503
SG;IMLE;5;5;5;200;0,001;1;50;0,226367608
SG;IMLE;5;10;5;200;0,001;1;50;0,226862907
SG;IMLE;1;10;5;200;0,001;1;10;0,22997421
SG;IMLE;1;10;5;200;0,001;1;30;0,241050452
SG;IMLE;1;10;5;200;0,001;1;50;0,24449268
SG;IMLE;1;5;5;200;0,001;1;10;0,247046039
SG;IMLE;1;5;5;200;0,001;1;30;0,25061062
SG;IMLE;1;5;5;200;0,001;1;50;0,251771241
