time limit,dim,keep,num_feat,num_item,num_data_train,jobtype,step_mu,num_iter_mu,method,lr,best_relat_regret,best_epoch,epoch,patience,tl,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
30,10,1,12,100,200,SG,50,50,IMLE,0.001,0.387949388276135,-1,0,5,30,0.3879493897408247,0.10561099511605607,0.3824122531041503,0.10894208375190297
60,10,1,12,100,200,SG,1,10,IMLE,0.001,0.349023539541807,5,6,5,60,0.34902354001998903,0.10204666241013832,0.3527236581817269,0.09922148882866354
60,10,1,12,100,200,SG,1,5,IMLE,0.001,0.32444700618200406,5,6,5,60,0.32444700635969637,0.10297141742826575,0.3273776828572154,0.10001351912457734
60,10,1,12,100,200,SG,1,30,IMLE,0.001,0.3611815055353152,1,2,5,60,0.3611815072596073,0.11988952385057036,0.35922262220084666,0.10569207275710653
300,10,1,12,100,200,MSE,0,0,IMLE,0.01,0.11596074618854084,35798,35798,5,300,0.11596074708737433,0.16625902547522725,0.11980449525639415,0.16285472999448275
60,10,1,12,100,200,SG,10,30,IMLE,0.001,0.2728728895817707,15,16,5,60,0.2728728900104761,0.07400496137859904,0.2717820283398032,0.08341259781836262
60,10,1,12,100,200,SG,10,5,IMLE,0.001,0.26856427552391676,50,51,5,60,0.26856427520513537,0.07705937810483472,0.27270567854493855,0.0808410805494887
300,10,1,12,100,200,cla,0,0,SPOPlus,0.001,0.1717132589396519,865,865,5,300,0.1717132592946291,0.06108377403648352,0.1702535997349769,0.06240292808146105
60,10,1,12,100,200,SG,1,50,IMLE,0.001,0.37612622604986606,-1,0,5,60,0.37612622626125813,0.10068670090124172,0.3818138668760657,0.10239827703016416
60,10,1,12,100,200,SG,10,10,IMLE,0.001,0.252266786149045,19,20,5,60,0.2522667866945267,0.08137677298139277,0.25584894480928777,0.07456271747228699
60,10,1,12,100,200,SG,30,5,IMLE,0.001,0.27050737603477276,49,50,5,60,0.2705073767900467,0.08396879937092307,0.2708090757653117,0.08273923599620715
60,10,1,12,100,200,SG,30,10,IMLE,0.001,0.15249846677163525,59,60,5,60,0.15249846704304218,0.06793418791701,0.16247404612973332,0.0670654862750286
60,10,1,12,100,200,SG,10,50,IMLE,0.001,0.37841737086990873,-1,0,5,60,0.3784173708409071,0.10823158722996928,0.3765047135129571,0.10857000070839472
60,10,1,12,100,200,SG,30,50,IMLE,0.001,0.208171944704308,28,29,5,60,0.20817194536328315,0.06401148733595732,0.21201781915873288,0.06904949214065738
60,10,1,12,100,200,SG,30,30,IMLE,0.001,0.21606022346058856,29,30,5,60,0.21606022387742996,0.07611898906024409,0.2138944710046053,0.06813207565556062
300,10,1,12,100,200,MSE,0,0,IMLE,0.1,0.09203210615829177,36626,36626,5,300,0.09203210659325123,0.11458906063090833,0.08958641715859994,0.12369279657295944
60,10,1,12,100,200,SG,50,10,IMLE,0.001,0.25982420875541984,60,61,5,60,0.25982421085238455,0.0772972384552446,0.26343287248909475,0.07491746324091429
60,10,1,12,100,200,SG,50,5,IMLE,0.001,0.2713428898979927,67,68,5,60,0.2713428906351328,0.0825030807067048,0.2668028910011053,0.08014598547893492
60,10,1,12,100,200,SG,50,50,IMLE,0.001,0.4107862906392433,-1,0,5,60,0.4107862922549248,0.10777139057399268,0.3955918636843562,0.10980033039141074
60,10,1,12,100,200,SG,50,30,IMLE,0.001,0.1535621193202824,49,50,5,60,0.1535621192678809,0.06083709008224649,0.154829961322248,0.06123978596985036
300,10,1,12,100,200,cla,0,0,SPOPlus,0.01,0.03636537366798819,63,63,5,300,0.03636537376325578,0.03566680149373964,0.03713016527541913,0.048243992484984774
600,10,1,12,100,200,cla,0,0,IMLE,0.01,0.05104218995794957,35,35,5,600,0.05104219007305801,0.04579733904469248,0.0529492386765778,0.05707460824063143
300,10,1,12,100,200,cla,0,0,SPOPlus,0.1,0.031080049696609477,19,19,5,300,0.0310800497722812,0.016605791761962124,0.03172675045672804,0.02699436203134117
600,10,1,12,100,200,cla,0,0,IMLE,0.1,0.04202715801081526,33,33,5,600,0.04202715812250972,0.032051068679280384,0.04138643029006198,0.03825716406397355
300,10,1,12,100,200,SG,1,5,IMLE,0.001,0.31731257989331935,62,63,5,300,0.3173125809431076,0.08101927846647725,0.31820296168327333,0.08216722359381619
300,10,1,12,100,200,SG,1,10,IMLE,0.001,0.3231950583685775,32,33,5,300,0.32319505855441094,0.08813747964748202,0.3214473277926445,0.08950146567195659
300,10,1,12,100,200,SG,1,50,IMLE,0.001,0.3660476353531965,5,6,5,300,0.36604763582348826,0.10808639576723457,0.35965642339736226,0.10557815823875397
600,10,1,12,100,200,cla,0,0,SPOPlus,0.001,0.1796271033665095,1711,1711,5,600,0.1796271039545536,0.06391192537412423,0.17627234987728296,0.061820040061665776
300,10,1,12,100,200,SG,10,10,IMLE,0.001,0.2954929348031385,109,110,5,300,0.295492934063077,0.08851305715983712,0.3006331117898226,0.09045475623541563
300,10,1,12,100,200,SG,10,5,IMLE,0.001,0.1740616626022258,176,177,5,300,0.17406166307628154,0.0653945140999544,0.18052886321023107,0.0725160031010767
300,10,1,12,100,200,SG,1,30,IMLE,0.001,0.3167327773501065,11,12,5,300,0.3167327792197466,0.09437871422773707,0.3211555647701025,0.09575897030558195
