n,jobtype,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
50,SG,IMLE,10.0,10.0,0.5,20,10,0.2240751087665558,0.0400120355188846,0.2267028391361236,0.0468891113996505
50,SG,IMLE,10.0,10.0,0.5,15,30,0.2257448583841323,0.0439527332782745,0.229034349322319,0.0453598350286483
50,SG,IMLE,10.0,10.0,0.5,20,20,0.2221300899982452,0.0462865456938743,0.2272662967443466,0.0516477786004543
50,SG,IMLE,10.0,10.0,1.0,10,30,0.1457054913043975,0.0408502258360385,0.1279732584953308,0.0378839299082756
50,SG,IMLE,10.0,10.0,1.0,10,10,0.1394869238138198,0.0375073887407779,0.1276477426290512,0.0379502736032009
50,SG,IMLE,10.0,10.0,0.5,5,30,0.2199869304895401,0.0420525483787059,0.2282367497682571,0.0456448160111904
50,SG,IMLE,10.0,10.0,1.0,10,20,0.143110454082489,0.0386705473065376,0.1281773298978805,0.0383060090243816
50,SG,IMLE,10.0,10.0,1.0,15,20,0.1421701312065124,0.032413437962532,0.1291517466306686,0.0381810292601585
50,SG,IMLE,10.0,10.0,1.0,20,10,0.144894078373909,0.0346468389034271,0.1300193220376968,0.0391560271382331
50,SG,IMLE,10.0,10.0,1.0,15,30,0.1408986896276474,0.0377782918512821,0.1281901597976684,0.0375730171799659
50,SG,IMLE,10.0,10.0,1.0,15,10,0.1424172222614288,0.0328567326068878,0.1274348199367523,0.0361078344285488
50,SG,IMLE,10.0,10.0,1.0,20,20,0.1417087912559509,0.0362791903316974,0.1266327500343322,0.03700478002429
50,SG,IMLE,10.0,10.0,1.0,20,30,0.1468823254108429,0.039776399731636,0.1280478537082672,0.038612812757492
50,SG,IMLE,10.0,10.0,1.0,5,20,0.1415975838899612,0.0379897952079772,0.1283105313777923,0.0391717031598091
50,SG,IMLE,10.0,10.0,1.0,5,10,0.1428388506174087,0.0388970300555229,0.1280249655246734,0.0379390381276607
50,SG,IMLE,10.0,10.0,1.0,5,30,0.1440039873123169,0.036945141851902,0.1288839131593704,0.0370273105800151
50,SG,IMLE,10.0,10.0,2.0,10,30,0.191388726234436,0.0458002500236034,0.1868485659360885,0.0446782447397708
50,SG,IMLE,10.0,10.0,2.0,10,10,0.1850958317518234,0.0385151468217372,0.1676867604255676,0.0433704182505607
50,SG,IMLE,10.0,10.0,2.0,10,20,0.1927152574062347,0.045083712786436,0.1897915303707122,0.0438956096768379
50,SG,IMLE,10.0,10.0,2.0,20,20,0.1821906119585037,0.0382116250693798,0.1637575775384903,0.0438861176371574
50,SG,IMLE,10.0,10.0,2.0,20,10,0.1848153173923492,0.038102526217699,0.1607096344232559,0.0435297153890132
50,SG,IMLE,10.0,10.0,2.0,15,10,0.1786936372518539,0.0346135348081588,0.1626105904579162,0.0429937951266765
