n,jobtype,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
50,LD,IMLE,10,5.0,0.5,5,15,0.2303178757429123,0.047332990914583206,0.22472615540027618,0.049063630402088165
50,LD,IMLE,10,5.0,0.1,5,15,0.22404228150844574,0.04564163461327553,0.2272139936685562,0.049282316118478775
50,LD,IMLE,10,5.0,2.0,5,15,0.16851021349430084,0.04009227454662323,0.1417924463748932,0.043063461780548096
50,LD,IMLE,1,10.0,0.1,5,15,0.22020550072193146,0.04530179500579834,0.2267330288887024,0.04672683775424957
50,LD,IMLE,1,10.0,2.0,5,15,0.15642574429512024,0.04194076731801033,0.13364359736442566,0.040481265634298325
50,LD,IMLE,1,10.0,1.0,5,15,0.16126412153244019,0.03278396651148796,0.1369144320487976,0.040823835879564285
50,LD,IMLE,1,1.0,1.0,5,15,0.15385423600673676,0.03730503097176552,0.13542628288269043,0.040644969791173935
50,LD,IMLE,1,10.0,0.5,5,15,0.22558343410491943,0.04219163581728935,0.22988830506801605,0.04538188502192497
50,LD,IMLE,1,1.0,0.5,5,15,0.22075951099395752,0.04535384848713875,0.22690868377685547,0.04683521017432213
50,LD,IMLE,1,1.0,0.1,5,15,0.22128897905349731,0.04083904251456261,0.22819307446479797,0.04772341251373291
50,LD,IMLE,1,1.0,2.0,5,15,0.18746130168437958,0.04870512709021568,0.16249695420265198,0.04507302865386009
50,LD,IMLE,1,20.0,2.0,5,15,0.1640165001153946,0.041261546313762665,0.13124999403953552,0.03879667446017265
50,LD,IMLE,1,20.0,0.1,5,15,0.22524304687976837,0.045011941343545914,0.2240191251039505,0.047154802829027176
50,LD,IMLE,1,20.0,1.0,5,15,0.15671810507774353,0.03892374783754349,0.13791310787200928,0.04128163307905197
50,LD,IMLE,1,20.0,0.5,5,15,0.23082304000854492,0.04774674028158188,0.2320823222398758,0.05024680867791176
50,LD,IMLE,1,5.0,0.5,5,15,0.22573009133338928,0.04530143365263939,0.22447746992111206,0.046759650111198425
50,LD,IMLE,1,5.0,0.1,5,15,0.2266932725906372,0.049437932670116425,0.2287306785583496,0.04632840305566788
50,LD,IMLE,5,10.0,0.5,5,15,0.22815175354480743,0.048229116946458817,0.22368097305297852,0.04789436236023903
50,LD,IMLE,5,10.0,0.1,5,15,0.2252039909362793,0.04194975644350052,0.22961106896400452,0.044575661420822144
50,LD,IMLE,1,5.0,1.0,5,15,0.15923412144184113,0.03963831067085266,0.13639485836029053,0.04027710482478142
50,LD,IMLE,1,5.0,2.0,5,15,0.17707273364067078,0.045032598078250885,0.13998040556907654,0.03943868726491928
50,LD,IMLE,5,10.0,2.0,5,15,0.16058896481990814,0.04601066932082176,0.131440207362175,0.03658722713589668
50,LD,IMLE,5,1.0,1.0,5,15,0.15589353442192078,0.03743967413902283,0.13703930377960205,0.040829580277204514
50,LD,IMLE,5,10.0,1.0,5,15,0.15904562175273895,0.037226974964141846,0.1371651142835617,0.04021075367927551
50,LD,IMLE,5,20.0,0.5,5,15,0.22432778775691986,0.0424906350672245,0.22904211282730103,0.04446323215961456
50,LD,IMLE,5,20.0,2.0,5,15,0.15975549817085266,0.03681059181690216,0.13215753436088562,0.03713574633002281
50,LD,IMLE,5,20.0,0.1,5,15,0.2301475703716278,0.04176822677254677,0.2282794564962387,0.04548023268580437
50,LD,IMLE,5,1.0,0.5,5,15,0.23023062944412231,0.04815343767404556,0.22672039270401,0.05102130398154259
50,LD,IMLE,5,1.0,2.0,5,15,0.1821715533733368,0.047826625406742096,0.1613439917564392,0.04267118498682976
50,LD,IMLE,5,20.0,1.0,5,15,0.1560797393321991,0.03844244033098221,0.1371578574180603,0.04035268351435661
50,LD,IMLE,5,1.0,0.1,5,15,0.22509022057056427,0.046120647341012955,0.22525574266910553,0.04793240502476692
50,LD,IMLE,5,5.0,2.0,5,15,0.16657377779483795,0.044044703245162964,0.13939553499221802,0.03912588953971863
50,LD,IMLE,5,5.0,1.0,5,15,0.15683478116989136,0.036667559295892715,0.13650164008140564,0.04017947241663933
50,LD,IMLE,5,5.0,0.5,5,15,0.22549064457416534,0.04642721265554428,0.2231607586145401,0.042215436697006226
50,LD,IMLE,5,5.0,0.1,5,15,0.2275308221578598,0.04661541059613228,0.22680889070034027,0.05013466998934746
50,LD,SPOPlus,,,,5,15,0.15771561861038208,0.03571296110749245,0.13187013566493988,0.03786790370941162
50,SG,IMLE,10,10.0,0.1,10,20,0.2153688371181488,0.04965204745531082,0.22820821404457092,0.05152207985520363
50,SG,IMLE,10,10.0,0.1,10,30,0.22065532207489014,0.0448831208050251,0.22669661045074463,0.0483306348323822
