time limit,dim,keep,num_feat,num_item,num_data_train,jobtype,step_mu,num_iter_mu,method,lr,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
60,10,1,12,100,200,SG,20,5,IMLE,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,20,5,IMLE,0.001,0.2924744486808777,0.29608938097953796,0.08942006528377533,0.29179686307907104,0.29739776253700256,0.08569902926683426
1800,10,1,12,100,200,SG,20,5,IMLE,0.001,0.2917683720588684,0.29608938097953796,0.08862558752298355,0.2899491786956787,0.29651162028312683,0.08487151563167572
3600,10,1,12,100,200,SG,20,5,IMLE,0.001,0.28906994841992856,0.2949909418821335,0.0878711462401463,0.2881523644328117,0.29406973719596863,0.08398863203689479
60,10,1,12,100,200,SG,5,10,IMLE,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,5,10,IMLE,0.001,0.2922866940498352,0.29615384340286255,0.08952663838863373,0.2936288118362427,0.2996108829975128,0.08617685735225677
1800,10,1,12,100,200,SG,5,10,IMLE,0.001,0.2829269766807556,0.2800000011920929,0.08596736192703247,0.2862900495529175,0.29107141494750977,0.08377178758382797
3600,10,1,12,100,200,SG,5,10,IMLE,0.001,0.2816401746869087,0.28096915781497955,0.08440397161862837,0.2858091469183564,0.29075630009174347,0.08383467626615666
60,10,1,12,100,200,SG,5,20,IMLE,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,5,20,IMLE,0.001,0.3223235011100769,0.33185839653015137,0.09933079779148102,0.32335221767425537,0.331877738237381,0.09328898787498474
1800,10,1,12,100,200,SG,5,20,IMLE,0.001,0.25741851329803467,0.2506203353404999,0.07736185938119888,0.25796106457710266,0.25764191150665283,0.07647978514432907
3600,10,1,12,100,200,SG,5,20,IMLE,0.001,0.24891032002866267,0.2494131475687027,0.07212771467328075,0.2517781412824988,0.25247161090373993,0.0740026869357703
60,10,1,12,100,200,SG,5,5,IMLE,0.001,0.34555867314338684,0.35944700241088867,0.10723032802343369,0.35040268301963806,0.3588235378265381,0.10091905295848846
600,10,1,12,100,200,SG,5,5,IMLE,0.001,0.2733280062675476,0.26865673065185547,0.0847686156630516,0.27642083168029785,0.28099173307418823,0.08179287612438202
1800,10,1,12,100,200,SG,5,5,IMLE,0.001,0.2657800316810608,0.2636815905570984,0.08319095522165298,0.26867666840553284,0.27272728085517883,0.07972151786088943
3600,10,1,12,100,200,SG,5,5,IMLE,0.001,0.2645800659060478,0.2659871429204941,0.08131802454508961,0.2678631871640682,0.27199144661426544,0.07979174035941276
